Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:26:25.327,-0.000976,-0.000976,1.000156,0,0.035,-0.035,-0.003,-0.1065,-0.0825
06-26-2025 19:26:25.367,0.002684,-0.00244,0.998936,0,0.035,0,0,-0.1125,-0.0765
06-26-2025 19:26:25.407,0.00122,-0.00244,1.00162,0,0.035,-0.035,-0.0015,-0.102,-0.0855
06-26-2025 19:26:25.447,0.000976,-0.000244,0.997472,0,0.035,-0.035,-0.0015,-0.1065,-0.09
06-26-2025 19:26:25.487,0.003172,-0.00366,0.997716,0.035,0,-0.035,0.006,-0.1065,-0.09
06-26-2025 19:26:25.527,0.000976,-0.003416,1.001376,0.07,0.035,-0.035,0.0045,-0.1155,-0.0825
06-26-2025 19:26:25.567,0.001464,-0.000976,0.99918,0,0,0.07,0,-0.1035,-0.093
06-26-2025 19:26:25.607,-0.00122,-0.000976,1.002352,0.035,0.035,0,0,-0.1095,-0.09
06-26-2025 19:26:25.647,0.003904,0.000732,1.00284,0,0.035,-0.07,0.0015,-0.1035,-0.093
06-26-2025 19:26:25.687,-0.000488,-0.005612,0.997228,-0.035,0.035,-0.035,0.0075,-0.114,-0.081
06-26-2025 19:26:25.727,-0.001708,0.001952,0.99918,0,0.035,-0.035,0.006,-0.108,-0.075
06-26-2025 19:26:25.767,-0.001708,-0.000488,0.995764,0,0.035,-0.035,0.0015,-0.114,-0.087
06-26-2025 19:26:25.807,0.00122,-0.003904,1.00162,0.035,0.035,-0.035,0,-0.108,-0.0735
06-26-2025 19:26:25.847,0.002684,-0.003416,1.00406,0.035,0.035,-0.035,-0.003,-0.108,-0.0855
06-26-2025 19:26:25.887,-0.000488,0.000976,0.997472,0.035,0.035,0,0,-0.1065,-0.0855
06-26-2025 19:26:25.927,-0.000976,-0.003172,0.998692,0.035,0.035,0.035,-0.006,-0.1035,-0.084
06-26-2025 19:26:25.967,0.00488,-0.003416,1.002352,0.035,0.035,-0.035,0.0045,-0.1125,-0.0855
06-26-2025 19:26:26.007,-0.00244,-0.000976,1.000888,0,0.035,0,0,-0.105,-0.084
06-26-2025 19:26:26.047,0.003416,0.00122,0.997472,0,0,-0.035,0.003,-0.1125,-0.0825
06-26-2025 19:26:26.087,-0.005368,0.000244,0.99918,0,0,0,-0.0045,-0.117,-0.087
06-26-2025 19:26:26.127,-0.000732,0.000244,0.996252,0,0.035,-0.035,0.0015,-0.111,-0.09
06-26-2025 19:26:26.167,-0.00366,-0.005124,1.004304,0.07,0.035,0,-0.003,-0.1095,-0.09
06-26-2025 19:26:26.207,-0.00488,-0.003904,1.002108,0.035,0.035,-0.035,-0.0015,-0.1095,-0.0825
06-26-2025 19:26:26.247,-0.000244,-0.001464,0.998204,0.035,0.07,-0.035,0.003,-0.111,-0.0825
06-26-2025 19:26:26.287,0.00244,-0.00122,0.995764,0.035,0.035,-0.07,-0.0015,-0.1155,-0.0795
06-26-2025 19:26:26.327,-0.006588,-0.005612,1.000888,0.035,0,0,0,-0.105,-0.087
06-26-2025 19:26:26.367,-0.00244,-0.000976,0.997228,0,0.07,0,-0.003,-0.1005,-0.0945
06-26-2025 19:26:26.407,0.001708,-0.00244,1.001132,0,0,0.035,0.003,-0.1065,-0.081
