Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:37:19.712,-0.000488,0.023668,0.99186,-0.595,0,0,0.276,0.168,-0.198
06-26-2025 19:37:19.752,-0.000488,0.018788,0.999912,-0.42,0,0,0.2685,0.1725,-0.195
06-26-2025 19:37:19.792,-0.004148,0.021228,0.99552,-0.28,-0.035,-0.035,0.27,0.168,-0.201
06-26-2025 19:37:19.832,-0.005612,0.023424,0.997716,-0.21,0,0,0.273,0.1665,-0.1965
06-26-2025 19:37:19.872,-0.00366,0.025132,0.998448,-0.175,0,0.07,0.2715,0.1755,-0.1935
06-26-2025 19:37:19.912,-0.007564,0.026108,1.000644,-0.28,-0.035,0.07,0.2715,0.1755,-0.1935
06-26-2025 19:37:19.952,0.001952,0.0244,0.992592,-0.315,-0.035,-0.035,0.285,0.171,-0.198
06-26-2025 19:37:19.992,-0.000488,0.030256,1.000156,-0.35,0,0.035,0.2685,0.1665,-0.195
06-26-2025 19:37:20.032,-0.003172,0.030744,0.999912,-0.42,-0.035,0.035,0.2685,0.174,-0.192
06-26-2025 19:37:20.072,-0.002196,0.026596,0.99918,-0.455,-0.035,-0.035,0.276,0.1665,-0.1995
06-26-2025 19:37:20.112,-0.005368,0.025376,0.996984,-0.595,-0.035,0.07,0.2775,0.174,-0.195
06-26-2025 19:37:20.152,-0.000732,0.025132,1.0004,-0.595,-0.07,0.035,0.2775,0.174,-0.195
06-26-2025 19:37:20.192,0.00244,0.022692,0.997716,-0.525,0,0,0.276,0.1665,-0.198
06-26-2025 19:37:20.232,0.000488,0.017568,0.996496,-0.455,-0.035,0,0.2775,0.168,-0.198
06-26-2025 19:37:20.272,-0.004148,0.02074,0.996984,-0.35,0.035,0,0.2865,0.1725,-0.192
06-26-2025 19:37:20.312,0,0.019764,1.000156,-0.245,0,-0.07,0.2805,0.1725,-0.2025
06-26-2025 19:37:20.352,-0.004392,0.021716,0.998204,-0.035,0.035,-0.105,0.285,0.171,-0.1905
06-26-2025 19:37:20.392,-0.00244,0.019032,1.003572,0.14,0,-0.035,0.2805,0.1755,-0.195
06-26-2025 19:37:20.432,0.000488,0.021228,0.991128,0.35,0.07,-0.105,0.273,0.168,-0.192
06-26-2025 19:37:20.472,-0.004148,0.020496,1.002352,0.595,0.07,-0.21,0.27,0.1665,-0.1995
06-26-2025 19:37:20.512,0.00122,0.023912,0.994056,0.875,0.14,-0.14,0.2745,0.1725,-0.192
06-26-2025 19:37:20.552,-0.004148,0.027328,1.00406,0.98,0.105,-0.035,0.2715,0.1695,-0.2055
06-26-2025 19:37:20.592,-0.00488,0.031232,0.995276,0.945,0.14,-0.035,0.27,0.1695,-0.1905
06-26-2025 19:37:20.632,-0.004148,0.035136,1.0004,0.77,0.105,-0.105,0.2655,0.162,-0.189
06-26-2025 19:37:20.672,-0.006588,0.039772,0.998936,0.63,0.07,0,0.2715,0.1635,-0.198
06-26-2025 19:37:20.712,-0.000244,0.039284,0.991128,0.35,0.07,-0.035,0.27,0.1635,-0.1875
06-26-2025 19:37:20.752,-0.006832,0.038552,1.00162,0.105,0,-0.105,0.2655,0.1695,-0.1875
06-26-2025 19:37:20.792,-0.004392,0.02928,0.992836,-0.07,0.035,-0.105,0.2715,0.165,-0.192
